id,title,location,area_sqft,bedrooms,bathrooms,price_lakhs,property_type,amenities,description
1,Spacious 3BHK in Wakad,Wakad Pune,1450,3,2,58,Apartment,"School nearby, Park, Gym","Beautiful 3 bedroom apartment near top schools, walking distance to market"
2,Affordable 2BHK Hinjewadi,Hinjewadi Pune,950,2,1,42,Apartment,"IT Park, Metro nearby","Ideal for IT professionals, close to Infosys and TCS campuses"
3,Luxury Villa Koregaon Park,Koregaon Park Pune,3200,4,4,185,Villa,"Pool, Garden, Security","Premium villa with private pool in the most sought-after locality"
4,Budget 1BHK Chinchwad,Chinchwad Pune,550,1,1,28,Apartment,"Bus stop, Market","Compact and affordable flat perfect for singles or young couples"
5,Corner Plot Baner,Baner Pune,1200,0,0,65,Plot,"Highway access, Society","East-facing corner plot in gated society near Baner road"
6,3BHK Near Hospital Kothrud,Kothrud Pune,1350,3,2,72,Apartment,"Hospital, School, Temple","Well connected 3BHK near Ruby Hall Clinic and reputed schools"
7,2BHK Sea View Worli,Worli Mumbai,1100,2,2,195,Apartment,"Sea view, Gym, Concierge","Stunning sea-facing apartment with modern amenities in prime Mumbai"
8,Penthouse Bandra,Bandra Mumbai,2800,4,4,450,Penthouse,"Terrace, Pool, Parking","Exclusive penthouse with private terrace and panoramic city views"
9,Studio Flat Andheri,Andheri Mumbai,420,1,1,55,Apartment,"Metro, Airport nearby","Compact studio ideal for young professionals near metro station"
10,Row House Aundh,Aundh Pune,1800,3,3,95,Row House,"Garden, Parking, Quiet","Independent row house with private garden in peaceful residential area"
11,2BHK Near IT Park,Hinjewadi Phase 2 Pune,1050,2,2,48,Apartment,"IT Park, Cafeteria, Gym","Perfect for techies — 5 min walk to Wipro and Cognizant offices"
12,Senior Citizen Friendly Flat,Bibwewadi Pune,1100,2,2,52,Apartment,"Lift, Hospital, Park","Ground floor flat with wide corridors, lift, near Sahyadri Hospital"
13,Investor Plot Talegaon,Talegaon Pune,2400,0,0,22,Plot,"Highway, Industrial zone","High appreciation potential plot near upcoming industrial corridor"
14,3BHK Gated Society Hadapsar,Hadapsar Pune,1300,3,2,61,Apartment,"Club house, Pool, School","Family-friendly gated society with school inside campus"
15,1BHK Student Accommodation,Shivajinagar Pune,480,1,1,32,Apartment,"College, Hostel, Mess","Near Pune University and FC College, ideal for students"